"hotel_id";"nome";"checkin";"checkout";"preco";"posicao";"hotel_base";"diferenca_base";"%_base";"diferenca_media";"%_media";"status_base";"status_media"
"";"MENOR";"";"";"R$ 198,00"
"";"MÉDIA";"";"";"R$ 247,86"
"";"MEDIANA";"";"";"R$ 248,00"
"";"MAIOR";"";"";"R$ 315,00"
"1";"Hotel Praia da Sereia (BASE)";"2026-04-01";"2026-04-02";"R$ 195,00";"1";"TRUE";"R$ 0,00";"0,00%";"- R$ 52,86";"-21,33%";"igual";"abaixo_media"
"4";"Rede Andrade Express - Amaralina";"2026-04-01";"2026-04-02";"R$ 198,00";"2";"FALSE";"+ R$ 3,00";"+1,54%";"- R$ 49,86";"-20,12%";"mais_caro";"abaixo_media"
"2";"Rede Concept - Hotel Salvador";"2026-04-01";"2026-04-02";"R$ 200,00";"3";"FALSE";"+ R$ 5,00";"+2,56%";"- R$ 47,86";"-19,31%";"mais_caro";"abaixo_media"
"3";"B Hotel Salvador";"2026-04-01";"2026-04-02";"R$ 214,00";"4";"FALSE";"+ R$ 19,00";"+9,74%";"- R$ 33,86";"-13,66%";"mais_caro";"abaixo_media"
"6";"Hotel Luar de Itapua";"2026-04-01";"2026-04-02";"R$ 248,00";"5";"FALSE";"+ R$ 53,00";"+27,18%";"+ R$ 0,14";"+0,06%";"mais_caro";"acima_media"
"9";"Farol de Itapua Praia Hotel";"2026-04-01";"2026-04-02";"R$ 260,00";"6";"FALSE";"+ R$ 65,00";"+33,33%";"+ R$ 12,14";"+4,90%";"mais_caro";"acima_media"
"10";"Absolutte Hotel";"2026-04-01";"2026-04-02";"R$ 300,00";"7";"FALSE";"+ R$ 105,00";"+53,85%";"+ R$ 52,14";"+21,04%";"mais_caro";"acima_media"
"5";"Onix Hotel Praia de Piata";"2026-04-01";"2026-04-02";"R$ 315,00";"8";"FALSE";"+ R$ 120,00";"+61,54%";"+ R$ 67,14";"+27,09%";"mais_caro";"acima_media"

"RECOMENDAÇÃO"
"ação";"subir"
"percentual";"10% a 15%"
"análise";"Preço muito abaixo do mercado. Há espaço para aumento."
