hotel_id,nome,checkin,checkout,preco,posicao,hotel_base,delta_base,perc_base,delta_media,perc_media,status_base,status_media,media_mercado,mediana_mercado,menor_preco_mercado,maior_preco_mercado
MEDIA,,,,261.89,,,,,,,,,261.89,248,187,315
MEDIANA,,,,248,,,,,,,,,261.89,248,187,315
1,"Hotel Praia da Sereia (BASE)",,2026-06-02,195,,,,,-66.89,-25.54%,mais_barato,abaixo_media,261.89,248,187,315
3,"B Hotel Salvador",2026-06-01,2026-06-02,187,1,FALSE,-8.00,-4.10%,-74.89,-28.60%,mais barato,abaixo_media,261.89,248,187,315
1,"Hotel Praia da Sereia",2026-06-01,2026-06-02,195,2,TRUE,+0.00,+0.00%,-66.89,-25.54%,igual,abaixo_media,261.89,248,187,315
11,"Rede Andrade Bahia - Pisa Plaza",2026-06-01,2026-06-02,228,3,FALSE,+33.00,+16.92%,-33.89,-12.94%,mais caro,abaixo_media,261.89,248,187,315
12,"Rede Andrade Riviera Premium",2026-06-01,2026-06-02,238,4,FALSE,+43.00,+22.05%,-23.89,-9.12%,mais caro,abaixo_media,261.89,248,187,315
6,"Hotel Luar de Itapua",2026-06-01,2026-06-02,241,5,FALSE,+46.00,+23.59%,-20.89,-7.98%,mais caro,abaixo_media,261.89,248,187,315
4,"Rede Andrade Express - Amaralina",2026-06-01,2026-06-02,248,6,FALSE,+53.00,+27.18%,-13.89,-5.30%,mais caro,abaixo_media,261.89,248,187,315
10,"Absolutte Hotel",2026-06-01,2026-06-02,300,7,FALSE,+105.00,+53.85%,+38.11,+14.55%,mais caro,acima_media,261.89,248,187,315
9,"Farol de Itapua Praia Hotel",2026-06-01,2026-06-02,300,8,FALSE,+105.00,+53.85%,+38.11,+14.55%,mais caro,acima_media,261.89,248,187,315
2,"Rede Concept - Hotel Salvador",2026-06-01,2026-06-02,300,9,FALSE,+105.00,+53.85%,+38.11,+14.55%,mais caro,acima_media,261.89,248,187,315
5,"Onix Hotel Praia de Piata",2026-06-01,2026-06-02,315,10,FALSE,+120.00,+61.54%,+53.11,+20.28%,mais caro,acima_media,261.89,248,187,315
